timestamp,batch_guid,database,model,total_requests,mean_latency_ms,test_duration_config,energy_j,mean_power_w,mean_cpu_percent,mean_memory_gb
20251021-161935,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,316.634345,58.43,2569.132996,43.966652,93.083729,20.651961
20251021-162039,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,327.088262,60.05,2636.421082,43.900819,93.435961,20.653962
20251021-162145,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,320.891412,59.06,2596.951904,43.971239,93.26957,20.65454
20251021-162250,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,234.587075,46.22,2022.916931,43.765804,92.79598,20.634971
20251021-162341,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,231.1031,45.82,1990.636902,43.447409,92.325739,20.632171
20251021-163442,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,244.443684,47.83,2078.49707,43.455738,91.730574,20.642238
20251021-163536,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,330.607612,60.63,2643.777649,43.603867,93.043606,20.663374
20251021-163642,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,328.830534,60.23,2628.96051,43.64658,93.479913,20.662862
20251021-163748,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,331.706883,60.64,2651.111267,43.715345,93.770867,20.666344
20251021-163854,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,328.460698,60.26,2626.584656,43.58958,93.26332,20.66609
20251021-164000,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,328.029969,66.23,2723.1297,41.1132,84.750095,20.660762
20251021-164112,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,327.299293,66.25,2728.665771,41.186152,84.707569,20.662622
20251021-164224,ECE26AB0-D2D1-4E38-8559-DF415B40296E,credit_card_transactions,xgboost,15000,327.032656,66.26,2720.194458,41.053208,84.777041,20.661233
